Site_no,date_time,Date,Time,Jump,Wink,Swim,Flip,Fin,Gill,Cave,Chase,BeChased,Contact,P_station,P_sea,Tmp,RH,Wd,Pre_amount,Pre_period,SST,Tide_ht
1,2.00805E+13,17/5/2008,13:23:04,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:23:19,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:23:24,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:23:37,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:23:50,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:23:54,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:23:55,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:24:04,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:24:32,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:24:45,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:24:47,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:25:04,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:25:05,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:25:30,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:25:35,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:25:45,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:26:02,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
1,2.00805E+13,17/5/2008,13:26:08,3,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1004.9,1007.2,26.7,83,1.5,0,0,23.4,264
